Method,Name,Error,Occurrences
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.065s)'),4
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.045s)'),1
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.082s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.071s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.063s)'),7
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.073s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.058s)'),3
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.058s)'),3
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.061s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.056s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.032s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.067s)'),4
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.036s)'),3
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.068s)'),3
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.066s)'),3
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.050s)'),2
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.072s)'),1
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.059s)'),2
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.043s)'),2
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.046s)'),2
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.032s)'),1
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.062s)'),2
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.028s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.064s)'),3
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.045s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.049s)'),5
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.060s)'),3
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.044s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.062s)'),1
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.052s)'),2
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.070s)'),2
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.029s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.074s)'),1
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.056s)'),1
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.060s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.038s)'),3
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.069s)'),2
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.063s)'),2
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.070s)'),3
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.085s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.077s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.054s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.076s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.048s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.080s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.084s)'),1
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.065s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.053s)'),2
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.059s)'),2
GET,/metrics,CatchResponseError('SLA violation: >100ms latency (2.057s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.040s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.050s)'),2
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.057s)'),1
GET,/fleet/summary,CatchResponseError('SLA violation: >100ms latency (2.026s)'),1
