Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776043933,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776043934,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776043935,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776043936,40,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,13,10,2084.3839999870397,1593.8576307783549,3.0252999858930707,2084.3839999870397,3415.6153846153848
1776043937,50,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,33,20,2084.3839999870397,1253.647272729061,2.0401999936439097,2084.3839999870397,2371.909090909091
1776043938,60,,Aggregated,3.666667,3.333333,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,70,35,23,1032.722295712613,2.0401999936439097,2084.3839999870397,2077.285714285714
1776043939,70,,Aggregated,7.750000,5.000000,5,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,102,40,4,809.9417872544306,2.0401999936439097,2084.3839999870397,1781.2941176470588
1776043940,80,,Aggregated,11.200000,6.000000,4,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,147,50,4,703.1734326543907,1.667100004851818,2085.5624999967404,1784.8775510204082
1776043941,90,,Aggregated,14.833333,6.666667,4,8,2000,2100,2100,2100,2100,2100,2100,2100,2100,199,60,4,623.9008934672304,1.3267999747768044,2085.5624999967404,1821.140703517588
1776043942,100,,Aggregated,19.142857,7.142857,4,6,2000,2000,2100,2100,2100,2100,2100,2100,2100,261,70,4,554.8161275865924,1.2666999828070402,2085.5624999967404,1733.7356321839081
1776043943,100,,Aggregated,22.250000,7.500000,3,5,17,2000,2100,2100,2100,2100,2100,2100,2100,330,80,3,501.90623484879984,1.2666999828070402,2085.5624999967404,1739.0
